XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/12/2025 19:00,669041.0,670220.0,668375.0,669893.0,852.0,0.13,
12/12/2025 18:00,669065.0,670432.0,668673.0,669423.0,358.0,0.05,
12/12/2025 17:00,667130.0,668617.0,665800.0,668306.0,1176.0,0.18,
12/12/2025 16:00,668777.0,669692.0,665138.0,668356.0,-421.0,-0.06,
12/12/2025 15:00,677678.0,678070.0,669309.0,672765.0,-4913.0,-0.73,
12/12/2025 14:00,677414.0,678130.0,675340.0,678049.0,635.0,0.09,
12/12/2025 13:00,674961.0,677660.0,674267.0,677364.0,2403.0,0.35,
12/12/2025 12:00,676082.0,676484.0,674945.0,674962.0,-1120.0,-0.17,
12/12/2025 11:00,675073.0,676603.0,674698.0,676089.0,1016.0,0.15,
12/12/2025 10:00,673140.0,675310.0,672525.0,675071.0,1931.0,0.29,
12/12/2025 09:00,671385.0,673423.0,671115.0,673121.0,1736.0,0.26,
12/12/2025 08:00,667266.0,671481.0,667264.0,671358.0,4092.0,0.61,
12/12/2025 07:00,666626.0,667558.0,666475.0,667283.0,657.0,0.10,
12/12/2025 06:00,666379.0,667174.0,665827.0,666593.0,214.0,0.03,
12/12/2025 05:00,664398.0,666524.0,664365.0,666364.0,1966.0,0.30,
12/12/2025 04:00,664951.0,665066.0,664218.0,664417.0,-534.0,-0.08,
12/12/2025 03:00,664749.0,665496.0,664406.0,664930.0,181.0,0.03,
12/12/2025 02:00,664791.0,665823.0,664582.0,664718.0,-73.0,-0.01,
12/12/2025 01:00,664700.0,665555.0,663448.0,664794.0,94.0,0.01,
12/12/2025 00:00,664894.0,666157.0,664381.0,664684.0,-210.0,-0.03,
12/11/2025 23:00,665957.0,666194.0,664622.0,664905.0,-1052.0,-0.16,
12/11/2025 22:00,665819.3,665819.3,665819.3,665819.3,0.0,0.00,
12/11/2025 21:00,665282.0,666417.0,664642.0,665700.0,418.0,0.06,
12/11/2025 20:00,664941.0,665348.0,663649.0,665348.0,407.0,0.06,
12/11/2025 19:00,663094.0,665112.0,662426.0,664911.0,1817.0,0.27,
12/11/2025 18:00,664215.0,665496.0,662890.0,663151.0,-1064.0,-0.16,
12/11/2025 17:00,663040.0,664360.0,662718.0,664196.0,1156.0,0.17,
12/11/2025 16:00,659648.6,664005.0,659648.6,663023.0,3374.4,0.51,
12/11/2025 15:00,655594.0,660416.0,655311.0,660110.0,4516.0,0.68,
12/11/2025 14:00,655446.0,658254.0,654579.0,656403.0,957.0,0.15,
12/11/2025 13:00,656640.0,656794.0,654155.0,655335.0,-1305.0,-0.20,
